bs,lat,lon,type,fog
262,13.16924017777778,111.07722209523807,rrh,260
263,13.16905481320755,111.07587250943395,rrh,260
271,13.070821644117643,111.10308238235295,rrh,270
272,13.073600844827586,111.10380472413797,rrh,270
273,13.07015866,111.10563020000002,rrh,270
281,13.184791242857145,111.18683473809526,rrh,280
282,13.183790596491232,111.18765492982459,rrh,280
283,13.183570717647061,111.18577735294117,rrh,280
291,13.18887180714286,110.98998707142859,rrh,290
292,13.185952790909091,110.98767786363634,rrh,290
293,13.188192228571427,110.9871456190476,rrh,290
301,13.15006076046512,111.1185936511628,rrh,300
302,13.15178297027027,111.1188881621622,rrh,300
303,13.150930160606059,111.11920163636364,rrh,300
311,13.182265109803918,111.03758884313726,rrh,310
312,13.181760197826089,111.03783800000004,rrh,310
313,13.182395194594593,111.0391551351351,rrh,310
321,13.141790247142854,111.07947572857142,rrh,320
322,13.141154697727268,111.07902979545456,rrh,320
323,13.141282000000002,111.07915936619716,rrh,320
331,13.06875260909091,111.08519936363636,rrh,330
332,13.071967047058823,111.08546476470586,rrh,330
333,13.070379852380952,111.08505057142858,rrh,330
341,13.137428966666668,111.09139079629631,rrh,340
342,13.137385377551022,111.09146720408161,rrh,340
343,13.136691702985077,111.09187429850746,rrh,340
351,13.081951152173911,111.11505719565216,rrh,350
352,13.082086287878786,111.11664681818182,rrh,350
353,13.081112771428572,111.11589045714285,rrh,350
361,13.222455064285713,111.11241617857146,rrh,360
362,13.221358738888888,111.11139891666664,rrh,360
363,13.219415108333335,111.11078583333331,rrh,360
371,13.168409493548383,111.23934980645164,rrh,370
372,13.168726408333335,111.239636125,rrh,370
373,13.168054347619048,111.24123514285714,rrh,370
381,13.19119304390244,111.02088468292685,rrh,380
382,13.191966297058826,111.02105852941175,rrh,380
383,13.191758210256408,111.0208031025641,rrh,380
391,13.118497973684208,111.02013536842108,rrh,390
392,13.119315010526316,111.01819336842104,rrh,390
393,13.117591987499997,111.02110808333332,rrh,390
401,13.045160209523809,111.07567228571428,rrh,400
402,13.04539789090909,111.07558354545455,rrh,400
403,13.04485358,111.0745624,rrh,400
411,13.178580155555556,111.22242594444444,rrh,410
412,13.176393324999998,111.22077974999999,rrh,410
413,13.173482100000001,111.21710888888887,rrh,410
421,13.043556108333334,111.19930716666666,rrh,420
422,13.043063819444441,111.19525141666664,rrh,420
423,13.043370742857148,111.19617823809524,rrh,420
431,13.070133376923074,111.13258719230772,rrh,430
432,13.072082984375001,111.13055171875003,rrh,430
433,13.070030027586206,111.1327196551724,rrh,430
441,13.040686076190473,110.98497657142859,rrh,440
442,13.03793517894737,110.98407521052631,rrh,440
443,13.039565438461542,110.9825428076923,rrh,440
451,13.28041418333333,110.98706650000001,rrh,450
452,13.286376616666665,110.98346883333333,rrh,450
453,13.28757028,110.9822376,rrh,450
461,13.137254692424246,111.10733528787878,rrh,460
462,13.137227192957752,111.10757178873241,rrh,460
463,13.137474556097558,111.10829802439027,rrh,460
471,13.082141785714285,111.043871,rrh,470
472,13.080285163157894,111.04745884210529,rrh,470
473,13.081182100000001,111.04664429411763,rrh,470
481,13.150213130232562,111.04174393023258,rrh,480
482,13.151140692727271,111.04222683636364,rrh,480
483,13.150032512195123,111.04244573170732,rrh,480
491,13.169753893181815,111.06025199999999,rrh,490
492,13.171004147457625,111.06188749152544,rrh,490
493,13.17025471190476,111.06043447619052,rrh,490
501,13.203805565384615,111.13144442307693,rrh,500
502,13.204865953333329,111.12974793333336,rrh,500
503,13.206465105000001,111.13034534999997,rrh,500
511,13.062165175,111.06502857499997,rrh,510
512,13.062208821621622,111.06451956756757,rrh,510
513,13.0605169,111.06399748275862,rrh,510
521,13.126858504000001,111.03886212000002,rrh,520
522,13.127357938888888,111.03979072222221,rrh,520
523,13.124030194736841,111.04042168421053,rrh,520
531,13.115291273529408,111.11279523529412,rrh,530
532,13.117343042307693,111.11259392307693,rrh,530
533,13.115470046428571,111.11218528571428,rrh,530
541,13.2523914875,111.09426649999999,rrh,540
542,13.254384199999999,111.09010533333333,rrh,540
543,13.249987325,111.09624674999999,rrh,540
551,13.118595563768114,111.07264797101452,rrh,550
552,13.118081969354833,111.07293082258064,rrh,550
553,13.11788255588235,111.0737245147059,rrh,550
561,13.168919444444446,111.02025825000001,rrh,560
562,13.16752350714286,111.02148132142858,rrh,560
563,13.169295419444438,111.02291908333335,rrh,560
571,13.201577029166666,111.03318200000002,rrh,570
572,13.200499421428573,111.03518635714286,rrh,570
573,13.203774976470589,111.03280582352942,rrh,570
581,13.19819025609756,111.04943404878048,rrh,580
582,13.197311385365854,111.0496551463415,rrh,580
583,13.19882963448276,111.04885896551723,rrh,580
591,13.234016285714285,111.05511985714286,rrh,590
592,13.234914000000002,111.05736093333331,rrh,590
593,13.233535912500002,111.0567405,rrh,590
601,13.193972017647058,111.2108201764706,rrh,600
