bs,lon,lat
162,111.072801,13.1694485
163,111.070224,13.1691889
164,111.070968,13.1708939
165,111.071485,13.1560903
166,111.074642,13.1663505
167,111.037568,13.1664645
168,111.042272,13.1655799
169,111.036563,13.1687305
170,111.032429,13.1645285
171,111.030686,13.1643727
172,111.036468,13.1633493
173,111.027188,13.1645637
174,111.025683,13.1714697
175,111.039410,13.1638073
176,111.023036,13.1658197
177,111.023230,13.1668847
178,111.036450,13.1668975
179,111.030359,13.1607656
180,111.031216,13.1709585
181,111.029474,13.1580056
182,110.958872,13.1177554
183,110.967924,13.0875400
184,110.970157,13.1308384
185,110.989687,13.1307107
186,110.952200,13.1063453
187,110.967869,13.1184464
188,110.959076,13.1106433
189,110.974048,13.1282260
190,110.972191,13.1281750
191,110.965020,13.0828068
192,110.962701,13.1013816
193,110.980971,13.1299360
194,110.967691,13.1076712
195,110.965425,13.1180484
196,110.982321,13.1119565
197,110.964910,13.0786778
198,110.957005,13.1147604
199,110.989052,13.1317187
200,110.968439,13.1295774
201,110.963370,13.1181704
202,110.975318,13.1329070
203,111.130458,13.1307151
204,111.115396,13.1184625
205,111.112479,13.1199415
206,111.119400,13.1249306
207,111.117180,13.1188425
208,111.134561,13.1399944
209,111.119987,13.1269466
210,111.120671,13.1175145
211,111.119699,13.1282016
212,111.120137,13.1228355
213,111.114425,13.1172255
214,111.122488,13.1309711
215,111.124432,13.1320911
216,111.120187,13.1246206
217,111.119182,13.1274826
218,111.119777,13.1156115
219,111.114602,13.1238826
220,111.116368,13.1150805
221,111.120145,13.1212395
222,111.115874,13.1399910
223,111.115039,13.1261176
224,111.120123,13.1172055
225,111.111466,13.1219155
226,111.128031,13.1375015
227,111.124228,13.1258481
228,111.057220,13.1546660
229,111.060397,13.1507659
230,111.052960,13.1613990
231,111.045000,13.1595578
232,111.054792,13.1611490
233,111.061051,13.1613690
234,111.049031,13.1541848
235,111.057747,13.1534839
236,111.052199,13.1614380
237,111.060676,13.1578590
238,111.053171,13.1545530
