from,to,distance
100,10,11.6490123028486
100,20,7.962366313528362
100,50,7.757174623269308
100,60,6.388171579883803
100,100,0.0
100,120,12.147673762230982
100,150,10.315211798088303
100,160,7.983751226727511
100,200,12.55516246376608
100,220,6.431886797972574
100,240,11.898686166443296
100,270,2.5827686180871297
100,300,10.749388437074986
100,320,10.644198664473501
100,330,4.139506241737131
100,340,9.709556855474672
100,350,3.0900306816011183
100,400,4.9168859004338
100,420,8.426211245377628
100,430,2.268372008273743
100,460,9.330476137488697
100,470,8.464036198038167
100,510,6.031980504216868
100,520,11.800068330908417
100,530,6.9094572772358775
100,550,8.723741074886536
100,610,2.7441781775227216
100,620,10.086854193625687
100,660,8.686552222800142
100,680,6.708231564320869
100,700,12.290015028620177
100,800,6.308778629039712
100,810,9.313393953043247
100,830,11.4587332324032
100,860,12.101946701230068
100,870,12.368882872986958
100,880,8.22210359763789
100,890,10.457582690780127
100,910,7.911449440712708
100,920,6.593097715195583
100,940,2.4107365151478466
100,990,8.765930250352433
100,101,0.13702256195310522
100,102,0.16441242855588603
100,103,0.14750748448438467
100,99300,35.74985295783794
110,10,11.533310586388977
110,40,8.289459440692504
110,50,11.449087021333614
110,80,11.536973146028966
110,110,0.0
110,130,6.453415418580645
110,150,8.35049477024462
110,170,12.55740778041849
110,200,9.709454824989809
110,210,6.261273514880818
110,250,10.977300153702977
110,290,8.180558997841963
110,310,10.752148431488537
110,380,10.267281314485334
110,390,6.054038704828591
110,440,8.964610780205138
110,470,9.831079172347366
110,480,9.211729562568317
110,490,12.02095597083033
110,510,12.545845515685077
110,520,8.23907390649094
110,550,11.81352658476843
110,560,8.418908876985173
110,570,12.019003308406047
110,620,11.6957309169126
110,630,10.17161284308146
110,650,1.7739433172232018
110,730,8.181546775413057
110,760,4.99149096233141
110,780,4.274842654879783
110,790,6.353466578427544
110,860,10.034542272379532
110,870,5.9258187018482005
110,890,8.870857612730862
110,900,8.106965022383651
110,920,11.772855313005548
110,930,10.206080349245575
110,950,9.870949344200426
110,970,1.9911398619081615
110,990,10.410272540770853
110,111,0.1389144169863825
110,112,0.17651504137620624
110,113,0.08254009407713972
110,99300,39.85121239600884
120,10,4.733111193132977
120,20,4.429295796999606
120,30,6.8996173328646595
120,40,8.430631478823095
120,70,3.3002161960969167
120,80,11.429984628835047
120,100,12.147673762230982
120,120,0.0
120,140,6.560794178738449
120,150,9.655455102885675
120,160,5.4472815853204795
120,170,5.873556259346537
120,190,9.251040229515667
120,210,11.167632255676924
120,220,7.732780553872774
120,230,4.437221120886437
120,240,3.915348174595538
120,250,5.401720309771975
120,260,3.321666201141131
120,270,10.131041146486883
120,280,9.014161499445617
120,300,1.869603500972937
120,310,7.723322528069706
120,320,3.7892874647165544
120,330,10.53995430183639
120,340,3.275155817154193
120,350,9.058600310528314
120,360,6.523742249513966
120,380,9.818310700757449
120,390,10.600509446640618
120,410,12.45208704568554
120,430,10.578400201980754
120,460,2.828074856264632
120,470,11.17767621358207
120,480,7.109053994834514
120,490,5.01364861844945
120,500,5.359648358952001
120,510,12.115589926144242
120,520,8.315512611175498
120,530,5.238379349439837
120,540,10.039074238867737
120,550,6.136259259355042
120,560,9.230994855856219
120,570,9.031584718620422
120,580,7.336297668329628
120,590,9.621754968872994
120,600,11.909208439329742
120,610,12.094218401096798
120,620,5.174199842688988
120,640,6.450911830048829
120,660,3.851439906578126
120,690,2.8902375282765997
120,700,3.609326968128358
120,730,11.0628051444819
120,740,4.234303187566159
120,750,1.3587891860442063
120,770,12.215004527636692
120,780,12.099114647401027
120,790,10.286632916778695
120,800,6.379431563877905
120,810,4.5570953535807455
120,820,5.6188627707530605
120,830,1.964921669922284
120,840,5.909442898286723
120,850,4.592865002698118
120,860,6.218992188885105
120,880,9.188822232502156
120,900,8.121873244085618
120,920,9.760297927947313
120,930,6.820120640226942
120,950,12.195977403206319
120,990,8.034596738186513
120,121,0.22793939839423769
120,122,0.15879136391027732
120,123,0.09423755938840869
120,99300,25.72194112018797
130,50,8.684812730577484
130,110,6.453415418580645
130,130,0.0
130,150,9.266540694478259
130,200,4.546406577927389
130,210,11.660266953928472
130,390,8.597889783045986
130,400,11.729972125506555
130,440,2.833592822395234
130,470,8.818610253991272
130,510,10.454738897079068
130,520,10.694427480076138
130,650,7.488624325361036
130,680,10.141627898637752
130,760,11.05252643059482
130,780,9.216163136649698
130,790,11.111959174530847
130,870,6.254450785582222
130,890,6.0248906546485115
130,900,11.560218578418318
130,920,11.043252878014975
130,970,4.613921749223613
